Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2017,GOOG,IT, $726.47 ," $110,855.00 "," $65,272.00 "," $12,662.00 ", $0.90 ," $33,093.00 "," $152,502.00 "," $(2,608.00)",514.03%,0.026,0.83%,6.42%,0.8%,11.42%,-0.151,0.83%,80110,2.13%
2016,GOOG,IT, $530.84 ," $90,272.00 "," $55,134.00 "," $19,478.00 ", $1.39 ," $29,860.00 "," $139,036.00 "," $(3,461.00)",629.08%,0.0283,1.40%,11.63%,1.4%,21.58%,0.6249,1.40%,72053,1.26%
2015,GOOG,IT, $521.67 ," $74,989.00 "," $46,825.00 "," $15,826.00 ", $1.14 ," $24,423.00 "," $120,331.00 "," $(1,364.00)",466.67%,0.0434,1.36%,11.09%,1.3%,21.10%,0.3054,1.36%,61814,0.12%
2014,GOOG,IT, $354.75 ," $66,001.00 "," $40,310.00 "," $14,136.00 ", $1.03 ," $21,475.00 "," $103,860.00 ", $(118.00),468.78%,0.0504,1.31%,10.54%,1.3%,21.42%,0.0463,1.31%,53600,1.62%
2013,GOOG,IT, $371.53 ," $55,519.00 "," $33,526.00 "," $12,733.00 ", $0.94 ," $19,342.00 "," $87,309.00 "," $4,123.00 ",458.17%,0.0601,1.51%,11.86%,1.5%,22.93%,-0.2373,1.51%,47756,1.46%
2012,GOOG,IT, $230.54 ," $46,039.00 "," $28,863.00 "," $10,737.00 ", $0.81 ," $16,796.00 "," $71,715.00 "," $4,792.00 ",421.66%,0.0772,1.61%,12.32%,1.5%,23.32%,0.1539,1.61%,53861,2.07%
2011,GOOG,IT, $207.65 ," $37,905.00 "," $24,717.00 "," $9,737.00 ", $0.74 ," $13,593.00 "," $58,145.00 "," $(3,669.00)",591.92%,0.0723,1.67%,13.42%,1.6%,25.69%,0.3039,1.67%,32467,3.16%
2010,GOOG,IT, $188.54 ," $29,321.00 "," $18,904.00 "," $8,505.00 ", $0.66 ," $11,777.00 "," $46,241.00 "," $3,451.00 ",415.79%,0.0749,1.84%,14.70%,1.8%,29.01%,-0.1195,1.84%,24400,1.64%
2009,GOOG,IT, $195.27 ," $23,651.00 "," $14,807.00 "," $6,520.00 ", $0.51 ," $9,836.00 "," $36,004.00 "," $1,530.00 ",1061.78%,0,1.81%,16.10%,1.8%,27.57%,0.6657,1.81%,19835,-0.36%
2022,PYPL,FinTech, $81.19 ," $27,518.00 "," $11,653.00 "," $2,419.00 ", $2.09 ," $5,154.00 "," $20,274.00 "," $1,282.00 ",127.53%,0.5138,1.19%,3.07%,0.8%,8.79%,0.288,1.19%,29900,8.00%
